Ticker,Action,Conviction,Entry_Price,Current_Price,Current_Return_Pct,T+1m,T+3m,T+6m
KRE,Buy,8,62.94,67.36,7.01,1.32,1.15,-6.76
INTC,Buy,9,26.23,37.47,42.87,-20.66,-20.05,-13.99
BA,Buy,8,150.98,215.61,42.81,4.01,19.51,34.73
AGG,Buy selectively,7,94.27,99.87,5.94,1.04,-0.11,0.91
BABA,Buy,10,98.48,151.14,53.48,-7.81,12.62,31.47
CPS,Strong Buy,10,15.92,35.27,121.55,-0.82,-9.36,54.21
J,Hold,7,142.05,133.38,-6.11,-6.01,-8.03,-12.15
GXO,Hold,6,60.42,53.13,-12.07,-17.66,-28.83,-32.87
KR,Hold,7,57.81,62.33,7.82,-2.07,10.28,14.97
PYPL,Hold,7,81.16,59.58,-26.59,10.63,-6.32,-11.14
FMC,Hold,7,57.47,13.64,-76.28,-4.37,-39.36,-35.72
ASML,Pass,5,670.8,1061.27,58.21,4.33,11.42,13.39
EL,Buy,7,64.85,108.49,67.29,23.76,7.14,-0.3
RRGB,Avoid,2,5.2,4.25,-18.27,7.5,-1.35,-42.12
KRE,Buy,8,62.94,67.36,7.01,1.32,1.15,-6.76
INTC,Buy,9,26.23,37.47,42.87,-20.66,-20.05,-13.99
BA,Buy,8,150.98,215.61,42.81,4.01,19.51,34.73
AGG,Buy selectively,7,94.27,99.87,5.94,1.04,-0.11,0.91
BABA,Buy,10,98.48,151.14,53.48,-7.81,12.62,31.47
CPS,Strong Buy,10,15.92,35.27,121.55,-0.82,-9.36,54.21
J,Hold,7,142.05,133.38,-6.11,-6.01,-8.03,-12.15
GXO,Hold,6,60.42,53.13,-12.07,-17.66,-28.83,-32.87
KR,Hold,7,57.81,62.33,7.82,-2.07,10.28,14.97
PYPL,Hold,7,81.16,59.58,-26.59,10.63,-6.32,-11.14
FMC,Hold,7,57.47,13.64,-76.28,-4.37,-39.36,-35.72
ASML,Pass,5,670.8,1061.27,58.21,4.33,11.42,13.39
EL,Buy,7,64.85,108.49,67.29,23.76,7.14,-0.3
RRGB,Avoid,2,5.2,4.25,-18.27,7.5,-1.35,-42.12
KRE,Buy,8,62.94,67.36,7.01,1.32,1.15,-6.76
INTC,Buy,9,26.23,37.47,42.87,-20.66,-20.05,-13.99
BA,Buy,8,150.98,215.61,42.81,4.01,19.51,34.73
AGG,Buy selectively,7,94.27,99.87,5.94,1.04,-0.11,0.91
BABA,Buy,10,98.48,151.14,53.48,-7.81,12.62,31.47
CPS,Strong Buy,10,15.92,35.27,121.55,-0.82,-9.36,54.21
J,Hold,7,142.05,133.38,-6.11,-6.01,-8.03,-12.15
GXO,Hold,6,60.42,53.13,-12.07,-17.66,-28.83,-32.87
KR,Hold,7,57.81,62.33,7.82,-2.07,10.28,14.97
PYPL,Hold,7,81.16,59.58,-26.59,10.63,-6.32,-11.14
FMC,Hold,7,57.47,13.64,-76.28,-4.37,-39.36,-35.72
ASML,Pass,5,670.8,1061.27,58.21,4.33,11.42,13.39
EL,Buy,7,64.85,108.49,67.29,23.76,7.14,-0.3
RRGB,Avoid,2,5.2,4.25,-18.27,7.5,-1.35,-42.12
KRE,Buy,8,62.94,67.36,7.01,1.32,1.15,-6.76
INTC,Buy,9,26.23,37.47,42.87,-20.66,-20.05,-13.99
BA,Buy,8,150.98,215.61,42.81,4.01,19.51,34.73
AGG,Buy selectively,7,94.27,99.87,5.94,1.04,-0.11,0.91
BABA,Buy,10,98.48,151.14,53.48,-7.81,12.62,31.47
CPS,Strong Buy,10,15.92,35.27,121.55,-0.82,-9.36,54.21
J,Hold,7,142.05,133.38,-6.11,-6.01,-8.03,-12.15
GXO,Hold,6,60.42,53.13,-12.07,-17.66,-28.83,-32.87
KR,Hold,7,57.81,62.33,7.82,-2.07,10.28,14.97
PYPL,Hold,7,81.16,59.58,-26.59,10.63,-6.32,-11.14
FMC,Hold,7,57.47,13.64,-76.28,-4.37,-39.36,-35.72
ASML,Pass,5,670.8,1061.27,58.21,4.33,11.42,13.39
EL,Buy,7,64.85,108.49,67.29,23.76,7.14,-0.3
RRGB,Avoid,2,5.2,4.25,-18.27,7.5,-1.35,-42.12
